A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
688132,-,邦彦技术,邦彦技术股份,"BANGYAN TECHNOLOGY CO.,LTD.",20220923
688133,-,泰坦科技,泰坦股份,"Shanghai Titan Scientific Co.,Ltd.",20201030
688135,-,利扬芯片,利扬芯片,"Guangdong Leadyo IC Testing Co.,Ltd.",20201111
688136,-,科兴制药,科兴生物制药,"SHAN DONG KEXING BIOPRODUCTS CO., LTD",20201214
688137,-,近岸蛋白,近岸蛋白,NOVOPROTEIN SCIENTIFIC INC.,20220929
688138,-,清溢光电,清溢光电,Shenzhen Qingyi Photomask Limited,20191120
688139,-,海尔生物,海尔生物,"Qingdao Haier Biomedical Co.,Ltd",20191025
688141,-,杰华特,杰华特微电子,"JOULWATT TECHNOLOGY CO., LTD.",20221223
688143,-,长盈通,长盈通光电,"YANGTZE OPTICAL ELECTRONIC CO., LTD.",20221212
688146,-,中船特气,中船派瑞特气,"PERIC SPECIAL GASES CO., LTD.",20230421
688147,-,微导纳米,微导纳米科技,"JIANGSU LEADMICRO NANO TECHNOLOGY CO., LTD.",20221223
688148,-,芳源股份,芳源股份,"Guangdong Fangyuan Environment Co., Ltd.",20210806
688150,-,莱特光电,莱特光电股份,"SHAANXI LIGHTE OPTOELECTRONICS MATERIAL CO.,LTD",20220318
688151,-,华强科技,华强科技,"HUBEI HUAQIANG HIGH-TECH CO.,LTD.",20211206
688152,-,麒麟信安,麒麟信安,"HUNAN KYLINSEC TECHNOLOGY CO., LTD.",20221028
688153,-,唯捷创芯,唯捷创芯,"VANCHIP(TIANJIN) TECHNOLOGY CO.,LTD.",20220412
688155,-,先惠技术,先惠技术,"Shanghai Sk Automation Technology Co., Ltd",20200811
688156,-,路德环境,路德环境,"ROAD ENVIRONMENT TECHNOLOGY CO., LTD",20200922
688157,-,松井股份,松井新材料,"HUNAN SOKAN NEW MATERIALS CO., LTD.",20200609
688158,-,优刻得,优刻得科技,"UCloud Technology Co., Ltd.",20200120
688159,-,有方科技,有方科技,"Shenzhen Neoway Technology Co.,Ltd.",20200123
688160,-,步科股份,步科自动化,"Kinco Automation(Shanghai)Co., Ltd",20201112
688161,-,威高骨科,威高骨科,"Shandong Weigao Orthopaedic Device Co.,Ltd.",20210630
688162,-,巨一科技,巨一科技,"JEE TECHNOLOGY CO., LTD.",20211110
688163,-,赛伦生物,赛伦生物,"SHANGHAI SERUM BIO-TECHNOLOGY CO., LTD.",20220311
688165,-,埃夫特,埃夫特智能,"EFORT Intelligent Equipment Co., Ltd.",20200715
688166,-,博瑞医药,博瑞生物医药,"Brightgene Bio-Medical Technology Co., Ltd.",20191108
688167,-,炬光科技,西安炬光科技,FOCUSLIGHT TECHNOLOGIES INC.,20211224
688168,-,安博通,北京安博通,"Beijing ABT Networks Co.,Ltd.",20190906
688169,-,石头科技,石头科技,"Beijing Roborock Technology Co., Ltd.",20200221
688170,-,德龙激光,德龙激光,"SUZHOU DELPHI LASER CO., LTD.",20220429
688171,-,纬德信息,纬德信息,"GUANGDONG WEIDE INFORMATION TECHNOLOGY CO,.LTD.",20220127
688172,-,燕东微,燕东微电子股份,"BEIJING YANDONG MICROELECTRONIC CO., LTD.",20221216
688173,-,希荻微,希荻微电子,"HALO MICROELECTRONICS CO.,LTD.",20220121
688175,-,高凌信息,珠海高凌信息,"ZHUHAI COMLEADER INFORMATION SCIENCE&TECHNOLOGY CO., LTD.",20220315
688176,-,亚虹医药,亚虹医药科技,"JIANGSU YAHONG MEDITECH CO., LTD.",20220107
688177,-,百奥泰,百奥泰生物,"Bio-Thera Solutions, Ltd.",20200221
688178,-,万德斯,万德斯环保,"Nanjing Wondux Environmental Protection Technology Corp.,Ltd.",20200114
688179,-,阿拉丁,阿拉丁科技,"Shanghai Aladdin Biochemical Technology Co., Ltd.",20201026
688180,-,君实生物,君实生物,"Shanghai Junshi Biosciences Co.,Ltd.",20200715
688181,-,八亿时空,八亿时空液晶股份,"Beijing Bayi Space LCD Technology Co., Ltd.",20200106
688182,-,灿勤科技,灿勤科技,"JIANGSU CAI QIN TECHNOLOGY CO., LTD",20211116
688183,-,生益电子,生益电子,"Shengyi Electronics Co., Ltd.",20210225
688184,-,帕瓦股份,帕瓦股份,"ZHEJIANG POWER NEW ENERGY CO.,LTD.",20220919
688185,-,康希诺,康希诺生物,Cansino Biologics Inc.,20200813
688186,-,广大特材,张家港广大特材,"Zhangjiagang Guangda Special Material Co., Ltd.",20200211
