板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
创业板,厦门唯科模塑科技股份有限公司,"Xiamen Voke Mold & Plastic Engineering Co., Ltd.",福建省厦门火炬高新区（翔安）产业区春光路1152号-1156号（双号）,301196,唯科科技,2022-01-11,"124,800,000","37,368,750",,,,0,0,华东,福建,厦门市,C 制造业,www.ctmold.com,否,否,否
创业板,河北工大科雅能源科技股份有限公司,"Hebei Gongda Keya Energy Technology Co., Ltd.",河北省石家庄高新区裕华东路455号润江总部国际9号楼,301197,工大科雅,2022-08-08,"120,540,000","59,508,000",,,,0,0,华北,河北,石家庄市,I 信息技术,www.gdkeya.com,否,否,否
创业板,宁波喜悦智行科技股份有限公司,"Ningbo Joy Intelligent Logistics Technology Co.,Ltd.",浙江省慈溪市桥头镇吴山南路1111号,301198,喜悦智行,2021-12-02,"169,000,000","77,841,400",,,,0,0,华东,浙江,宁波市,C 制造业,www.joy-nb.com,否,否,否
创业板,迈赫机器人自动化股份有限公司,"MH Robot & Automation Co., Ltd.",山东省潍坊市诸城市舜泰街1398号,301199,迈赫股份,2021-12-07,"133,340,000","46,715,000",,,,0,0,华东,山东,潍坊市,C 制造业,www.mhauto.cn,否,否,否
创业板,深圳市大族数控科技股份有限公司,"Shenzhen Han""s CNC Technology Co., Ltd.",广东省深圳市宝安区沙井街道沙二社区安托山高科技工业园17号厂房,301200,大族数控,2022-02-28,"420,000,000","42,000,000",,,,0,0,华南,广东,深圳市,C 制造业,www.hanscnc.cn,否,否,否
创业板,诚达药业股份有限公司,"ChengDa Pharmaceuticals Co.,Ltd.",浙江省嘉兴市嘉善县惠民街道黄河路36号,301201,诚达药业,2022-01-20,"154,713,824","83,993,824",,,,0,0,华东,浙江,嘉兴市,C 制造业,www.chengdapharm.com,否,否,否
创业板,苏州朗威电子机械股份有限公司,"Suzhou Longway Electronic Machinery Co., Ltd",江苏省苏州市相城区黄埭镇潘阳工业园住友电装路,301202,朗威股份,2023-07-05,"136,400,000","32,310,140",,,,0,0,华东,江苏,苏州市,C 制造业,www.longwaycabinet.com,否,否,否
创业板,杭州国泰环保科技股份有限公司,"Hangzhou Guotai Environmental Protection Technology Co.,Ltd.",浙江省杭州市萧山区萧山经济技术开发区启迪路198号B座3层,301203,国泰环保,2023-04-04,"80,000,000","18,799,194",,,,0,0,华东,浙江,杭州市,N 公共环保,hzgthb.com,否,否,否
创业板,武汉联特科技股份有限公司,"Linktel Technologies Co., Ltd.",湖北省武汉市东湖新技术开发区流芳大道52号E地块12栋,301205,联特科技,2022-09-13,"129,744,000","32,436,000",,,,0,0,华中,湖北,武汉市,C 制造业,www.linktel.com,否,否,否
创业板,山东三元生物科技股份有限公司,"Shandong Sanyuan Biotechnology Co.,Ltd",山东省滨州市滨北张富路89号,301206,三元生物,2022-02-10,"202,325,700","103,439,325",,,,0,0,华东,山东,滨州市,C 制造业,www.sanyuanbz.com,否,否,否
