Date,gcny10yr:gov,Stock:Close:02800,Stock:Divident:02800,Stock:pd:02800,usdcny:cur,usgg10yr:ind
151101,3.088,22.2,0.81,3.6486,6.423,2.218
151201,2.862,22.1,0.81,3.6652,6.568,2.275
160101,2.911,19.84,0.81,4.0827,6.5931,1.93
160201,2.909,19.3,0.81,4.1969,6.5517,1.74
160301,2.886,21.05,0.81,3.848,6.4634,1.784
160401,2.946,21.15,0.79,3.7352,6.4855,1.819
160501,2.995,21.1,0.79,3.7441,6.5859,1.834
160601,2.875,21.35,0.79,3.7002,6.6684,1.492
160701,2.805,22.45,0.79,3.5189,6.6268,1.458
160801,2.805,23.65,0.79,3.3404,6.6905,1.568
160901,2.769,24,0.79,3.2917,6.6728,1.606
161001,2.744,23.1,0.78,3.3766,6.7771,1.834
161101,2.94,23,0.78,3.3913,6.914,2.367
161201,3.066,22.1,0.78,3.5294,6.9726,2.432
170101,3.376,23.55,0.78,3.3121,6.8265,2.451
170201,3.358,24.05,0.78,3.2432,6.8549,2.358
170301,3.31,24.45,0.78,3.1902,6.8703,2.395
170401,3.477,24.8,0.77,3.1048,6.8964,2.282
170501,3.67,26,0.77,2.9615,6.7457,2.198
170601,3.578,26.25,0.77,2.9333,6.7784,2.302
170701,3.629,27.9,0.77,2.7599,6.7266,2.292
170801,3.675,28.75,0.77,2.6783,6.5945,2.122
170901,3.638,28.4,0.77,2.7113,6.6468,2.326
171001,3.916,28.45,0.93,3.2689,6.6313,2.376
171101,3.917,29.45,0.93,3.1579,6.611,2.415
171201,3.915,30.05,0.93,3.0948,6.5125,2.411
180101,3.944,33.1,0.93,2.8097,6.2977,2.72
180201,3.857,31.1,0.93,2.9904,6.3301,2.868
180301,3.778,30.4,0.93,3.0592,6.2602,2.7389
180401,3.687,31.05,0.9400000000000001,3.0274,6.3137,2.936
180501,3.646,30.95,0.9400000000000001,3.0372,6.4072,2.822
180601,3.543,29.45,0.9400000000000001,3.1919,6.6339,2.851
180701,3.533,29.3,0.9400000000000001,3.2082,6.8028,2.964
180801,3.6,28.65,0.9400000000000001,3.281,6.8445,2.853
180901,3.655,28.65,0.9400000000000001,3.281,6.8751,3.056
181001,3.533,25.05,0.9500000000000001,3.7924,6.9733,3.159
181101,3.398,26.7,0.9500000000000001,3.5581,6.949,3.013
181201,3.25,26.05,0.9500000000000001,3.6468,6.8693,2.691
190101,3.13,28.15,0.9500000000000001,3.3748,6.7084,2.635
190201,3.208,28.9,0.9500000000000001,3.2872,6.7028,2.711
190301,3.075,29.4,0.9500000000000001,3.2313,6.722,2.414
190401,3.416,29.85,0.9400000000000001,3.1491,6.7361,2.507
190501,3.297,27.35,0.9400000000000001,3.4369,6.936,2.142
190601,3.279,29.1,0.9400000000000001,3.2302,6.868,2
190701,3.183,28.5,0.9400000000000001,3.2982,6.9076,2.021
190801,3.068,26.5,0.9400000000000001,3.5472,7.1606,1.506
190901,3.155,26.95,0.9400000000000001,3.4879,7.1393,1.673
191001,3.281,27.05,0.93,3.4381,7.0442,1.691
191101,3.192,26.5,0.93,3.5094,7.0295,1.776
191201,3.173,28.45,0.93,3.2689,6.9591,1.91
200101,3.066,26.5,0.93,3.5094,7.0004,1.519
