Date,Stock:Close:00003,Stock:Close:00101,Stock:Close:00338,Stock:Close:01083,Stock:Close:02800,Stock:Divident:00003,Stock:Divident:00101,Stock:Divident:00338,Stock:Divident:01083,Stock:Divident:02800,Stock:pd:00003,Stock:pd:00101,Stock:pd:00338,Stock:pd:01083,Stock:pd:02800
140301,6.5848,14.5068,1.2152,7.2591,22.4,0.35,0.74,0.05,0.06,0.73,5.3153,5.1011,4.1145,0.8265,3.2589
140401,6.9584,15.3826,1.1483,6.769,22.25,0.35,0.75,0.05,0.06,0.73,5.0299,4.8756,4.3543,0.8864,3.2809
140501,7.2931,16.417,1.1605,6.8909,23.5,0.35,0.75,0.05,0.08,0.73,4.7991,4.5684,4.3085,1.161,3.1064
140601,7.3493,15.9498,1.3524,7.0532,23.75,0.35,0.75,0.1,0.08,0.73,4.7624,4.7023,7.3943,1.1342,3.0737
140701,7.3493,16.0499,1.5089,6.9141,25.55,0.35,0.75,0.1,0.08,0.73,4.7624,4.6729,6.6273,1.1571,2.8571
140801,7.618,17.0843,1.6216,6.3811,25.55,0.35,0.75,0.1,0.08,0.73,4.5944,4.39,6.1667,1.2537,2.8571
140901,7.3474,14.8502,1.6028,6.4274,23.8,0.35,0.75,0.1,0.08,0.73,4.7636,5.0504,6.2391,1.2447,3.0672
141001,7.8971,16.2613,1.5089,6.2884,24.2,0.35,0.75,0.1,0.08,0.84,4.432,4.6122,6.6273,1.2722,3.4711
141101,8.0193,15.6565,1.5089,6.0721,24.2,0.35,0.75,0.1,0.08,0.84,4.3645,4.7903,6.6273,1.3175,3.4711
141201,7.7488,14.615,1.4212,6.0721,23.9,0.35,0.75,0.1,0.08,0.84,4.5168,5.1317,7.0363,1.3175,3.5146
150101,7.7662,15.3541,1.4087,5.2377,24.75,0.35,0.75,0.1,0.08,0.84,4.5067,4.8847,7.0987,1.5274,3.3939
150201,7.6353,14.783,1.6592,5.454,25.1,0.35,0.75,0.1,0.08,0.84,4.584,5.0734,6.027,1.4668,3.3466
150301,7.8273,14.6486,1.8094,5.4772,25.3,0.35,0.75,0.1,0.08,0.84,4.4715,5.1199,5.5267,1.4606,3.3202
150401,8.0716,17.6388,2.9364,6.4351,28.35,0.35,0.75,0.1,0.08,0.8699999999999999,4.3362,4.252,3.4055,1.2432,3.0688
150501,8.1589,16.8414,2.3792,6.2497,27.8,0.35,0.76,0.1,0.08,0.8699999999999999,4.2898,4.5127,4.2031,1.2801,3.1295
150601,7.9013,15.8446,2.6359,5.5458,26.85,0.35,0.76,0.1,0.1,0.8699999999999999,4.4297,4.7966,3.7938,1.8032,3.2402
150701,7.6874,15.226,1.9785,5.538,25.2,0.35,0.76,0,0.1,0.8699999999999999,4.5529,4.9915,0,1.8057,3.4524
150801,7.1043,12.0296,1.7719,3.8563,22.35,0.35,0.76,0,0.1,0.8699999999999999,4.9266,6.3177,0,2.5932,3.8926
150901,7.1125,12.0484,1.847,3.7233,21.6,0.35,0.76,0,0.1,0.8699999999999999,4.9209,6.3079,0,2.6858,4.0278
151001,7.7101,13.2005,2.0286,4.1457,22.85,0.35,0.76,0,0.1,0.81,4.5395,5.7574,0,2.4121,3.5449
151101,7.4554,12.6036,1.7343,3.6607,22.2,0.35,0.76,0,0.1,0.81,4.6946,6.03,0,2.7317,3.6486
